#time	mic	%cpu	cpuT	memT	totW
1457972602	mic0	0.00	47.00	36.00	103.00
1457972603	mic1	0.00	61.00	47.00	108.00
1457972604	mic2	0.00	66.00	52.00	125.00
1457972605	mic3	0.00	52.00	38.00	108.00
1457972606	mic4	0.00	56.00	41.00	107.00
1457972607	mic5	0.00	62.00	46.00	105.00
1457972668	mic0	0.00	46.00	36.00	104.00
1457972669	mic1	0.00	61.00	47.00	110.00
1457972670	mic2	0.00	65.00	51.00	126.00
1457972671	mic3	0.00	53.00	38.00	108.00
1457972672	mic4	0.00	57.00	41.00	106.00
1457972673	mic5	0.00	64.00	46.00	104.00
1457972734	mic0	0.00	47.00	36.00	103.00
1457972735	mic1	0.00	61.00	47.00	111.00
1457972736	mic2	0.00	65.00	52.00	127.00
1457972737	mic3	0.00	52.00	38.00	107.00
1457972738	mic4	0.00	56.00	41.00	106.00
1457972739	mic5	0.00	64.00	47.00	107.00
1457972800	mic0	0.00	47.00	36.00	103.00
1457972801	mic1	0.00	62.00	48.00	110.00
1457972801	mic2	0.00	66.00	52.00	127.00
1457972802	mic3	0.00	52.00	39.00	109.00
1457972803	mic4	0.00	58.00	42.00	106.00
1457972804	mic5	0.00	62.00	47.00	105.00
1457972865	mic0	4.53	53.00	38.00	146.00
1457972866	mic1	0.40	63.00	50.00	117.00
1457972867	mic2	0.35	69.00	54.00	133.00
1457972868	mic3	0.35	55.00	40.00	117.00
1457972869	mic4	0.34	60.00	44.00	113.00
1457972870	mic5	0.31	67.00	49.00	114.00
1457972931	mic0	8.65	53.00	39.00	165.00
1457972932	mic1	4.67	68.00	51.00	155.00
1457972933	mic2	9.84	71.00	56.00	184.00
1457972934	mic3	9.81	58.00	41.00	168.00
1457972935	mic4	9.86	63.00	44.00	165.00
1457972936	mic5	2.75	69.00	50.00	146.00
1457972996	mic0	1.05	50.00	39.00	128.00
1457972997	mic1	9.93	67.00	52.00	170.00
1457972998	mic2	9.88	71.00	56.00	182.00
1457972999	mic3	8.76	57.00	41.00	168.00
1457973000	mic4	9.78	63.00	44.00	163.00
1457973001	mic5	9.87	69.00	50.00	166.00
1457973062	mic0	9.98	52.00	39.00	144.00
1457973063	mic1	0.35	66.00	52.00	117.00
1457973064	mic2	0.34	71.00	56.00	136.00
1457973065	mic3	4.39	56.00	41.00	117.00
1457973066	mic4	0.36	61.00	45.00	113.00
1457973067	mic5	0.35	66.00	50.00	114.00
1457973128	mic0	9.66	53.00	39.00	164.00
1457973129	mic1	0.01	65.00	52.00	113.00
1457973130	mic2	2.74	73.00	57.00	206.00
1457973131	mic3	8.84	57.00	41.00	168.00
1457973132	mic4	0.38	62.00	45.00	114.00
1457973132	mic5	2.26	68.00	51.00	112.00
1457973193	mic0	8.73	51.00	39.00	129.00
1457973194	mic1	9.80	67.00	52.00	170.00
1457973195	mic2	3.38	71.00	57.00	132.00
1457973196	mic3	5.32	61.00	42.00	195.00
1457973197	mic4	9.77	64.00	45.00	165.00
1457973198	mic5	4.95	67.00	50.00	165.00
1457973259	mic0	9.85	53.00	39.00	164.00
1457973260	mic1	0.00	66.00	52.00	112.00
1457973261	mic2	4.54	74.00	57.00	134.00
1457973262	mic3	9.77	58.00	41.00	168.00
1457973263	mic4	4.28	62.00	45.00	140.00
1457973264	mic5	0.02	68.00	51.00	112.00
1457973325	mic0	0.34	50.00	39.00	109.00
1457973326	mic1	9.72	68.00	52.00	171.00
1457973327	mic2	0.00	71.00	57.00	186.00
1457973328	mic3	0.35	56.00	41.00	116.00
1457973329	mic4	0.00	63.00	46.00	109.00
1457973329	mic5	9.32	68.00	51.00	167.00
1457973390	mic0	8.49	52.00	39.00	169.00
1457973391	mic1	0.36	65.00	52.00	118.00
1457973392	mic2	8.05	70.00	56.00	134.00
1457973393	mic3	9.26	58.00	41.00	170.00
