logtime	mic	cpu_user	cpuT	memT	totW
1458047940	mic0	0.00	47.00	36.00	103.00
1458047941	mic1	0.00	61.00	48.00	110.00
1458047942	mic2	0.00	66.00	52.00	126.00
1458047943	mic3	0.00	52.00	39.00	108.00
1458047944	mic4	0.00	59.00	42.00	107.00
1458047945	mic5	0.00	63.00	47.00	106.00
1458047976	mic0	0.00	47.00	36.00	103.00
1458047977	mic1	0.00	61.00	48.00	111.00
1458047978	mic2	0.00	66.00	52.00	126.00
1458047979	mic3	0.00	52.00	39.00	108.00
1458047980	mic4	0.00	58.00	42.00	106.00
1458047981	mic5	0.00	64.00	47.00	108.00
1458048012	mic0	0.00	47.00	36.00	103.00
1458048013	mic1	0.00	62.00	48.00	110.00
1458048014	mic2	0.00	65.00	52.00	126.00
1458048015	mic3	0.00	52.00	39.00	110.00
1458048016	mic4	0.00	59.00	42.00	106.00
1458048017	mic5	0.00	63.00	47.00	106.00
1458048047	mic0	0.00	47.00	36.00	102.00
1458048048	mic1	0.00	61.00	48.00	111.00
1458048049	mic2	0.00	66.00	52.00	125.00
1458048050	mic3	0.00	52.00	39.00	108.00
1458048051	mic4	0.00	58.00	42.00	106.00
1458048052	mic5	0.00	63.00	47.00	106.00
1458048083	mic0	0.00	46.00	36.00	103.00
1458048084	mic1	0.00	62.00	48.00	105.00
1458048085	mic2	0.00	66.00	52.00	128.00
1458048086	mic3	0.00	52.00	39.00	108.00
1458048087	mic4	0.00	59.00	42.00	106.00
1458048088	mic5	0.00	63.00	47.00	107.00
1458048119	mic0	0.00	47.00	36.00	102.00
1458048120	mic1	0.00	62.00	48.00	110.00
1458048121	mic2	0.00	66.00	52.00	127.00
1458048122	mic3	0.00	53.00	39.00	108.00
1458048123	mic4	0.00	59.00	42.00	107.00
1458048124	mic5	0.00	63.00	47.00	106.00
1458048155	mic0	0.00	47.00	36.00	104.00
1458048157	mic1	0.00	62.00	48.00	110.00
1458048157	mic2	0.00	66.00	52.00	126.00
1458048158	mic3	0.00	53.00	39.00	107.00
1458048159	mic4	0.00	60.00	42.00	108.00
1458048160	mic5	0.00	63.00	47.00	105.00
1458048191	mic0	0.00	46.00	36.00	103.00
1458048192	mic1	0.00	61.00	48.00	110.00
1458048193	mic2	0.00	66.00	52.00	127.00
1458048194	mic3	0.00	53.00	39.00	109.00
1458048195	mic4	0.00	59.00	42.00	107.00
1458048196	mic5	0.00	63.00	47.00	105.00
1458048227	mic0	0.00	47.00	36.00	103.00
1458048228	mic1	0.00	62.00	48.00	109.00
1458048229	mic2	0.00	66.00	52.00	128.00
1458048230	mic3	0.00	52.00	39.00	109.00
1458048231	mic4	0.00	57.00	42.00	106.00
1458048232	mic5	0.00	63.00	47.00	107.00
1458048263	mic0	0.38	47.00	37.00	111.00
1458048263	mic1	11.76	63.00	48.00	167.00
1458048264	mic2	31.05	67.00	53.00	135.00
1458048265	mic3	0.08	54.00	39.00	126.00
1458048266	mic4	0.15	61.00	42.00	133.00
1458048267	mic5	0.07	65.00	47.00	126.00
1458048298	mic0	40.78	52.00	38.00	145.00
1458048299	mic1	0.38	64.00	50.00	116.00
1458048300	mic2	0.33	69.00	54.00	134.00
1458048301	mic3	0.37	56.00	41.00	116.00
1458048302	mic4	0.37	61.00	44.00	113.00
1458048303	mic5	0.31	67.00	49.00	113.00
1458048334	mic0	34.89	52.00	39.00	108.00
1458048335	mic1	65.88	67.00	51.00	157.00
1458048336	mic2	0.04	70.00	56.00	136.00
1458048337	mic3	18.19	58.00	41.00	141.00
1458048338	mic4	68.21	63.00	45.00	151.00
1458048339	mic5	6.92	68.00	50.00	132.00
1458048369	mic0	26.77	51.00	39.00	107.00
1458048370	mic1	0.00	66.00	52.00	111.00
1458048371	mic2	37.31	70.00	56.00	134.00
1458048372	mic3	99.74	62.00	42.00	196.00
1458048373	mic4	99.26	65.00	45.00	149.00
1458048374	mic5	0.01	68.00	51.00	112.00
1458048405	mic0	99.78	54.00	39.00	162.00
1458048406	mic1	98.85	70.00	52.00	202.00
1458048407	mic2	100.00	72.00	56.00	185.00
1458048408	mic3	49.69	59.00	42.00	153.00
1458048409	mic4	37.19	62.00	45.00	161.00
1458048410	mic5	96.92	71.00	51.00	193.00
1458048441	mic0	99.71	53.00	39.00	163.00
1458048442	mic1	41.88	69.00	52.00	154.00
1458048443	mic2	100.00	72.00	57.00	187.00
1458048444	mic3	99.71	60.00	42.00	167.00
1458048444	mic4	99.75	64.00	45.00	166.00
1458048445	mic5	55.12	69.00	51.00	147.00
1458048476	mic0	99.74	53.00	39.00	164.00
1458048477	mic1	99.81	68.00	53.00	171.00
1458048478	mic2	99.78	72.00	57.00	185.00
1458048479	mic3	99.78	59.00	42.00	168.00
1458048480	mic4	99.72	64.00	45.00	165.00
1458048481	mic5	99.76	69.00	51.00	167.00
1458048512	mic0	99.68	52.00	39.00	161.00
1458048513	mic1	99.85	68.00	53.00	171.00
1458048514	mic2	99.93	72.00	57.00	183.00
1458048515	mic3	99.87	58.00	41.00	168.00
1458048516	mic4	99.52	63.00	44.00	167.00
1458048517	mic5	42.84	67.00	50.00	168.00
1458048548	mic0	99.76	52.00	39.00	164.00
1458048549	mic1	99.93	68.00	52.00	170.00
1458048550	mic2	99.72	71.00	57.00	184.00
1458048550	mic3	0.03	57.00	41.00	126.00
1458048551	mic4	0.28	62.00	45.00	113.00
1458048552	mic5	22.15	71.00	52.00	114.00
1458048583	mic0	0.37	49.00	39.00	109.00
1458048584	mic1	99.87	66.00	52.00	171.00
1458048585	mic2	0.08	70.00	57.00	143.00
1458048586	mic3	0.36	56.00	42.00	117.00
1458048587	mic4	100.00	67.00	46.00	196.00
1458048588	mic5	99.60	69.00	52.00	169.00
1458048619	mic0	55.36	51.00	39.00	111.00
